"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"EL003L1","Mar","31","50254.1718870986","1733.76794473854","0.0908683409192106","12.5516778401985","13813.0373166579"
"EL003L1","Apr","30","50254.1718830304","1791.56018094052","0.0938972841163797","12.9700668953342","13813.037317734"
"EL003L1","May","31","50254.1718824939","1733.76794458567","0.0908683409111987","12.5516778401985","13813.0373178759"
"EL003L1","Jun","30","50254.1718824605","1791.56018092096","0.0938972841153544","12.9700668953342","13813.0373178848"
"EL003L1","Jul","31","50254.1718824109","1733.76794458292","0.0908683409110546","12.5516778401985","13813.0373178978"
"EL003L1","Aug","31","50254.1718824055","1733.76794458276","0.0908683409110461","12.5516778401985","13813.0373178991"
"EL003L1","Sep","30","50254.1718824514","1791.56018092067","0.0938972841153391","12.9700668953342","13813.0373178871"
"EL003L1","Oct","31","50254.171882511","1733.76794458624","0.0908683409112284","12.5516778401985","13813.0373178713"
"EL003L1","Nov","30","50254.1718834323","1791.56018095431","0.0938972841171024","12.9700668953342","13813.0373176276"
"EL003L1","Dec","31","50254.1718894489","1733.76794481656","0.0908683409232997","12.5516778401984","13813.0373160363"
"EL004L1","Jan","31","312480.09376302","10399.2324223043","0.2677523216948","52.7675906659183","19707.6127414745"
"EL004L1","Feb","29","301829.43751201","10737.5263676106","0.276462482752147","54.4841554763613","19707.6127415115"
"EL004L1","Mar","31","284418.03126011","9465.3359378327","0.243706993945073","48.0288305908786","19707.6127415955"
"EL004L1","Apr","30","253662.734382925","8723.20410183131","0.224599091166902","44.2631191085079","19707.6127416809"
"EL004L1","May","31","265460.125007611","8834.42285181224","0.227462675450249","44.8274632097157","19707.6127417311"
"EL004L1","Jun","30","277822.656257611","9554.03906275805","0.245990861318727","48.4789263288045","19707.6127417559"
